address,city,state,zipCode,lat,lon,rooms,squareFeet,price,shortest distance to public trans,shortest distance to whole foods,shortest distance to parks
4333 Cabrillo St,San Francisco,CA,94121,37.773232,-122.505291,5,1866,1398000,0.98126746,1.463872461,0.257422602
255 Trinidad Dr,Tiburon,CA,94920,37.914853,-122.479209,3,2296,1695000,0.991749944,1.483565864,0.128586392
"01 Plan, 1433 Bush St.",San Francisco,CA,94109,37.788434,-122.420854,3,1087,1325000,0.726517533,0.182757796,0.261451556
1025 Cabrillo Ave,Burlingame,CA,94010,37.580443,-122.365563,5,4680,5850000,0.51601228,1.254127615,0.276226754
1641 89th Ave,Oakland,CA,94621,37.751984,-122.171948,3,1020,399000,0.755536894,1.430643411,0.238603921
2526 Ritchie St,Oakland,CA,94605,37.762062,-122.171355,2,881,425000,1.050842576,1.507773522,0.238603921
1201 Brickyard Way APT 201,Richmond,CA,94801,37.913431,-122.379505,3,1659,875000,1.059717776,1.543393375,0.23965013
"10 Innes Ct #204 Plan, The San Francisco Shipyard   Landing",San Francisco,CA,94124,37.7273,-122.371,2,1020,865000,1.062206533,1.545260061,0.30271503
4209 Howe St,Oakland,CA,94611,37.828694,-122.25146,0,2445,1950000,0.851546927,1.218570357,0.193694272
4057 Masterson St,Oakland,CA,94619,37.790041,-122.196609,2,842,579000,1.069031548,1.583548617,0.30680945
2345 Ticonderoga Dr,San Mateo,CA,94402,37.515656,-122.334904,2,1470,1060000,1.071197775,1.583548617,0.330398469
189 Sage St,Daly City,CA,94014,37.708286,-122.45187,4,3028,1695995,0.952109487,1.011911853,0.087695724
2555 Longview Dr,San Leandro,CA,94577,37.721798,-122.126886,3,1932,939000,0.961841374,1.841864549,0.334463138
1326 99th Ave,Oakland,CA,94603,37.742949,-122.170906,3,1114,499999,1.107242386,1.865163995,0.160622224
1325 California St LOT 1327,San Francisco,CA,94109,37.790921,-122.416189,1,2300,2495000,0.63299023,0.399116737,0.228691092
616 Hobart Ave,San Mateo,CA,94402,37.549526,-122.327008,3,1910,1950000,0.796384418,1.118312392,0.280042065
724 Martin Blvd,San Leandro,CA,94577,37.723991,-122.178357,4,2300,650000,0.819251674,1.671561813,0.144063419
333 Bush St APT 4206,San Francisco,CA,94104,37.790591,-122.403056,2,1798,2399000,0.127024682,0.669594534,0.183381583
7601 Hillside St,Oakland,CA,94605,37.766407,-122.171786,3,888,398000,0.364788024,1.113632461,0.256299834
277 W Broadmoor Blvd,San Leandro,CA,94577,37.73337,-122.165995,2,1092,659950,0.501453414,1.80615364,0.285870441
1000 3rd St,San Francisco,CA,94158,37.775991,-122.390481,2,1291,2050000,0.24307329,0.62570648,0.30237791
2220 California St,San Francisco,CA,94115,37.789565,-122.431032,4,3350,3595000,0.838846816,0.41781476,0.234555582
570 580 Bush St,San Francisco,CA,94108,37.790618,-122.406727,0,5685,6500000,0.307481679,0.75023608,0.180169708
56 Bismark St,Daly City,CA,94014,37.695556,-122.462671,4,1360,1200000,0.430601351,0.913144452,0.186679639
1215 1217 Broadway,San Francisco,CA,94109,37.796237,-122.417258,3,1940,2300000,0.551617787,0.540465559,0.19564563
108 Spencer Ave,Sausalito,CA,94965,37.854062,-122.484971,5,4420,3995000,0.779930661,1.059988227,0.138926956
1215 Broadway LOT 1217,San Francisco,CA,94109,37.796237,-122.417258,5,1940,2300000,0.800945487,0.540465559,0.230378753
2735 Churchill Dr,Hillsborough,CA,94010,37.570661,-122.383166,6,5170,4990000,0.854039212,1.408996697,0.259681495
578 4th St,San Francisco,CA,94107,37.778056,-122.39713,1,676,725000,0.157501588,0.264970882,0.285815065
"280 Spear Street #2H Plan, MIRA",San Francisco,CA,94105,37.791282,-122.39306,2,947,1100000,0.245731873,0.784433544,0.302956365
"52 Innes Ct. #301 Plan, The San Francisco Shipyard   Monarch",San Francisco,CA,94124,37.7271,-122.368,2,1080,1005000,0.471275034,0.997441153,0.305487525
179 Tucker Ave,San Francisco,CA,94134,37.716177,-122.407655,2,1040,988000,0.612142155,1.408996697,0.31199697
448 Fulton Rd,San Mateo,CA,94402,37.563588,-122.35241,3,2690,2880000,0.740471316,1.482617337,0.337690197
86 Inverness Dr,San Francisco,CA,94132,37.73273,-122.482506,2,1537,1388000,0.814893873,1.661466647,0.343154901
5017 Palmetto Ave APT 61,Pacifica,CA,94044,37.659782,-122.490483,2,1200,725000,0.912725422,1.662113108,0.2150972
"03 Plan, 1433 Bush St.",San Francisco,CA,94109,37.788531,-122.420976,1,600,785000,0.735761699,0.173341329,0.343274939
99 Silverwood Dr,Lafayette,CA,94549,37.884942,-122.164399,3,2036,1595000,0.764194707,1.26291074,0.353568358
1175 Cervantes Way,Pacifica,CA,94044,37.595513,-122.500625,3,1040,899000,0.941557893,1.435581074,0.188821711
306 Avalon Dr,South San Francisco,CA,94080,37.643811,-122.435365,3,1500,1395000,0.959077145,1.772007045,0.165734993
330 Mission Bay Blvd N UNIT 604,San Francisco,CA,94158,37.771662,-122.387453,2,1569,3350000,0.532241405,0.946196402,0.165734993
1000 Dewing Ave UNIT 413,Lafayette,CA,94549,37.892251,-122.123611,2,1554,1395000,0.086708951,0.997749383,0.220428645
112 Russ St,San Francisco,CA,94103,37.778444,-122.408113,2,811,775000,0.316060079,0.495376971,0.31594894
661 Clara St,Oakland,CA,94603,37.739186,-122.186239,8,1980,850000,0.416941153,1.001458771,0.262464059
1650 32nd Ave,San Francisco,CA,94122,37.756407,-122.490267,2,1525,1250000,0.735750717,1.163286351,0.353568358
400 Davey Glen Rd APT 4824,Belmont,CA,94002,37.525708,-122.286668,1,725,650000,0.643540079,1.252102763,0.075767342
2109 Hillside Cir,San Leandro,CA,94577,37.722776,-122.134219,3,2040,998000,0.84111182,1.781142237,0.292688848
586 Verducci Dr,Daly City,CA,94015,37.650801,-122.462832,3,1280,998000,0.959077145,1.802163093,0.346261844
"02 Plan, 719 Larkin",San Francisco,CA,94109,37.784529,-122.418101,1,545,690000,0.418254414,0.484234835,0.32003089
"280 Spear Street #2M Plan, MIRA",San Francisco,CA,94105,37.791282,-122.39306,2,919,1050000,0.245731873,0.784433544,0.34937787
545 Pierce St APT 3301,Albany,CA,94706,37.89599,-122.30677,2,1234,750000,0.471275034,1.026566731,0.149831529
1817 California St APT 207,San Francisco,CA,94109,37.78956,-122.424535,1,537,699000,0.553601247,0.072403249,0.192118053
99 Rausch St UNIT 522,San Francisco,CA,94103,37.776043,-122.409005,2,1076,1450000,0.354902719,0.620100809,0.220242929
1195 Acacia St,Montara,CA,94037,37.541278,-122.506243,4,1270,985000,0.58566121,0.858975088,0.351407776
215 Klamath St,Brisbane,CA,94005,37.681645,-122.400472,3,1200,995000,0.626897565,1.124517544,0.247119547
"10 Innes Ct #401 Plan, The San Francisco Shipyard   Landing",San Francisco,CA,94124,37.7273,-122.371,3,1256,1255000,0.775455425,1.222816459,0.288919756
1102 Shevlin Dr,El Cerrito,CA,94530,37.919299,-122.293663,3,1252,895000,0.909335251,1.252994584,0.290087503
1700 Waller St,San Francisco,CA,94117,37.768588,-122.451884,0,2012,1695000,0.938166629,0.089091942,0.363427837
1901 9th St,Berkeley,CA,94710,37.869818,-122.294539,0,1802,1105000,0.692983067,1.353734651,0.218868777
